0.571 0.122 0.224 0.204 0.357 0.104 0.179 0.857 0.214 0.542 0.000 0.163 0.735 0.000 0.000 0.000 0.250 0.643 0.000 0.000 0.286 0.592 0.551 0.000 0.000 0.524 r
0.000 0.000 0.300 0.400 0.733 0.000 0.182 0.182 0.167 0.636 0.500 0.424 0.030 0.379 0.742 0.742 0.273 0.000 0.152 0.788 0.250 0.483 0.133 0.133 0.633 0.875 d
0.392 0.515 0.000 0.569 0.423 0.238 0.587 0.035 0.657 0.140 0.277 0.523 0.354 0.554 0.154 0.252 0.280 0.552 0.483 0.168 0.438 0.215 0.346 0.423 0.269 0.706 M
0.000 0.000 0.076 0.106 0.000 0.000 0.152 0.152 0.076 0.091 0.583 0.667 0.333 0.528 0.583 0.364 0.485 0.621 0.742 0.582 0.745 0.455 0.258 0.288 0.509 0.776 s
0.218 0.152 0.473 0.061 0.000 0.164 0.667 0.764 0.197 0.218 0.273 0.818 0.764 0.318 0.236 0.000 0.697 0.600 0.000 0.218 0.000 0.591 0.836 0.394 0.564 0.739 t
0.150 0.000 0.000 0.000 0.000 0.333 0.350 0.133 0.267 0.250 0.267 0.850 0.767 0.317 0.633 0.000 0.700 0.500 0.000 0.000 0.367 0.767 0.617 0.100 0.000 0.725 r
0.449 0.518 0.250 0.750 0.286 0.204 0.625 0.000 0.518 0.327 0.179 0.625 0.000 0.500 0.286 0.163 0.661 0.000 0.554 0.306 0.020 0.554 0.089 0.464 0.490 0.500 u
0.171 0.543 0.171 0.586 0.600 0.371 0.414 0.000 0.814 0.014 0.312 0.377 0.247 0.169 0.000 0.429 0.614 0.586 0.514 0.314 0.543 0.271 0.243 0.343 0.229 0.746 g
0.408 0.429 0.321 0.122 0.000 0.875 0.304 0.312 0.518 0.000 0.265 0.388 0.500 0.571 0.000 0.750 0.107 0.328 0.554 0.250 0.673 0.429 0.429 0.694 0.388 0.647 a
0.020 0.560 0.360 0.660 0.740 0.340 0.780 0.100 0.320 0.360 0.582 0.782 0.164 0.145 0.145 0.460 0.820 0.060 0.000 0.000 0.440 0.780 0.140 0.180 0.120 0.839 f
0.264 0.488 0.357 0.750 0.125 0.833 0.440 0.083 0.345 0.083 0.417 0.726 0.262 0.202 0.167 0.208 0.131 0.131 0.012 0.056 0.014 0.083 0.095 0.083 0.014 0.757 c
0.286 0.357 0.286 0.476 0.514 0.714 0.214 0.000 0.286 0.514 0.371 0.571 0.486 0.548 0.371 0.629 0.095 0.000 0.119 0.771 0.771 0.143 0.371 0.333 0.343 0.625 s
0.357 0.391 0.446 0.500 0.196 0.429 0.672 0.000 0.172 0.750 0.603 0.625 0.000 0.139 0.825 0.393 0.562 0.089 0.328 0.429 0.375 0.062 0.321 0.234 0.000 0.569 o
0.288 0.500 0.500 0.135 0.000 0.000 0.000 0.357 0.857 0.268 0.000 0.000 0.018 0.982 0.768 0.000 0.000 0.232 0.839 0.196 0.308 0.385 0.365 0.058 0.000 0.985 )
0.442 0.569 0.385 0.154 0.000 0.000 0.000 0.243 0.857 0.250 0.000 0.000 0.000 0.657 0.839 0.000 0.000 0.214 0.800 0.375 0.250 0.292 0.354 0.092 0.000 0.985 )
