0.000 0.000 0.000 0.556 0.800 0.000 0.000 0.200 0.944 1.000 0.150 0.042 0.750 0.958 1.000 0.600 0.000 0.733 1.000 1.000 0.533 0.556 0.600 0.889 0.800 0.261 0.150 ־
0.125 0.000 0.000 0.000 0.000 0.198 0.000 0.010 0.000 0.031 0.719 0.647 0.676 0.735 0.833 0.823 0.873 0.794 0.765 0.854 0.262 0.059 0.024 0.047 0.075 0.152 0.308 —
0.489 0.178 0.044 0.111 0.089 0.956 0.822 0.644 0.778 0.711 1.000 1.000 1.000 0.983 0.983 1.000 0.978 1.000 0.978 0.978 0.956 0.844 0.822 0.911 1.000 0.080 0.197 —
0.400 0.200 0.067 0.200 0.567 0.700 0.833 0.900 0.967 1.000 0.733 0.933 0.800 0.933 1.000 0.933 0.967 0.800 0.867 1.000 0.867 0.900 0.833 0.767 1.000 0.067 0.137 —
0.458 0.271 0.118 0.104 0.208 0.854 0.917 0.784 0.708 0.854 0.875 0.922 1.000 0.984 0.969 0.958 0.979 0.980 1.000 0.958 0.646 0.479 0.549 0.479 0.854 0.078 0.174 —
0.067 0.044 0.156 0.178 0.067 0.667 0.622 0.622 0.844 0.578 0.950 1.000 0.950 1.000 1.000 0.956 1.000 1.000 1.000 1.000 0.956 1.000 1.000 0.978 0.933 0.080 0.152 —
0.000 0.000 0.172 0.000 0.000 0.567 0.500 0.594 0.453 0.433 1.000 1.000 1.000 0.984 1.000 1.000 1.000 1.000 1.000 1.000 0.800 0.594 0.688 0.719 0.733 0.108 0.198 —
0.400 0.333 0.200 0.200 0.633 0.933 1.000 0.967 0.767 0.800 1.000 0.967 0.767 0.933 0.867 1.000 0.967 0.900 1.000 0.967 0.967 0.733 0.600 0.600 0.800 0.067 0.119 —
0.489 0.378 0.222 0.400 0.556 0.889 0.911 0.889 0.822 0.844 0.933 0.978 0.956 0.844 0.978 0.378 0.289 0.133 0.000 0.111 0.044 0.133 0.000 0.000 0.000 0.100 0.183 —
0.375 0.500 0.250 0.375 0.625 1.000 0.750 1.000 0.875 1.000 1.000 1.000 0.875 0.375 1.000 1.000 1.000 0.500 0.875 0.375 1.000 1.000 1.000 1.000 0.500 0.250 0.128 -
0.333 0.333 0.267 0.600 0.533 0.933 1.000 0.933 1.000 1.000 0.833 1.000 0.867 0.967 1.000 1.000 1.000 1.000 1.000 1.000 0.967 1.000 0.833 0.800 0.867 0.067 0.109 —
0.312 0.375 0.312 0.354 0.292 0.854 0.896 0.896 0.979 0.958 1.000 0.979 1.000 0.958 1.000 0.979 1.000 1.000 0.958 1.000 0.875 1.000 1.000 1.000 1.000 0.072 0.183 —
0.400 0.700 0.333 0.500 0.500 0.800 0.800 1.000 1.000 1.000 0.800 0.600 0.500 0.500 0.900 0.900 0.500 0.917 0.700 0.700 1.000 1.000 1.000 1.000 1.000 0.227 0.167 ־
0.422 0.375 0.375 0.354 0.511 0.822 0.938 0.958 0.854 0.844 0.889 0.750 0.854 0.729 0.889 0.822 0.812 0.729 0.542 0.911 0.844 0.646 0.812 0.604 0.800 0.074 0.125 —
0.400 0.722 0.389 0.556 0.733 0.800 1.000 1.000 1.000 1.000 0.750 0.917 1.000 1.000 1.000 0.750 0.875 0.958 0.958 0.950 0.600 0.833 0.722 0.500 0.733 0.292 0.151 ־
0.267 0.400 0.433 0.667 0.633 0.778 0.911 0.933 0.978 0.978 0.956 0.933 0.911 1.000 0.800 0.933 0.978 0.822 1.000 0.911 0.800 1.000 0.933 0.967 0.933 0.063 0.108 —
