0.643 0.750 0.667 0.604 0.000 0.735 0.411 0.339 0.732 0.000 0.738 0.375 0.354 0.750 0.000 0.776 0.357 0.339 0.732 0.000 0.857 0.312 0.396 0.875 0.452 0.412 0.286 ռ
0.500 0.738 0.595 0.881 0.000 0.548 0.500 0.119 0.952 0.000 0.673 0.388 0.224 0.755 0.000 0.762 0.357 0.381 0.738 0.000 0.810 0.357 0.405 0.833 0.405 0.386 0.287 ռ
0.429 0.667 0.619 0.810 0.000 0.551 0.592 0.143 0.918 0.000 0.551 0.510 0.184 0.898 0.000 0.571 0.469 0.204 0.857 0.000 0.714 0.357 0.310 0.976 0.595 0.414 0.299 ռ
0.000 0.350 0.792 0.800 0.400 0.150 0.850 0.208 0.050 0.750 0.500 0.600 0.000 0.000 0.700 0.700 0.600 0.042 0.100 0.750 0.950 0.650 0.917 0.900 0.400 0.455 0.217 ՚
0.646 0.000 0.463 0.037 0.562 0.857 0.016 0.794 0.079 0.804 0.854 0.019 0.741 0.019 0.771 0.804 0.032 0.730 0.032 0.786 0.875 0.407 0.815 0.333 0.854 0.359 0.289 ա
0.583 0.083 0.562 0.062 0.583 0.679 0.089 0.750 0.071 0.768 0.729 0.083 0.833 0.062 0.771 0.732 0.000 0.786 0.018 0.786 0.708 0.458 0.792 0.521 0.896 0.350 0.292 ա
0.000 0.000 0.000 0.000 0.600 0.000 0.000 0.000 0.400 0.880 0.000 0.194 0.639 0.778 0.267 0.320 0.900 0.533 0.100 0.000 0.800 0.233 0.000 0.000 0.000 0.458 0.227 ՜
0.611 0.283 0.630 0.183 0.648 0.810 0.171 0.857 0.200 0.794 0.889 0.186 0.889 0.171 0.794 0.841 0.100 0.873 0.171 0.778 0.722 0.600 0.796 0.633 0.741 0.337 0.290 ա
0.667 0.056 0.667 0.574 0.667 0.794 0.095 0.746 0.079 0.714 0.778 0.093 0.778 0.093 0.741 0.762 0.032 0.714 0.016 0.730 0.852 0.556 0.778 0.019 0.815 0.341 0.289 տ
0.000 0.000 0.000 0.033 0.680 0.000 0.000 0.067 0.633 0.760 0.040 0.467 0.967 0.700 0.200 0.560 0.800 0.267 0.000 0.000 0.800 0.100 0.000 0.000 0.000 0.520 0.266 ՜
0.000 0.480 0.840 0.680 0.680 0.240 0.840 0.120 0.000 0.680 0.520 0.480 0.000 0.000 0.440 0.800 0.800 0.360 0.400 0.800 0.760 0.360 0.600 0.600 0.400 0.500 0.244 ՚
0.537 0.241 0.583 0.111 0.685 0.722 0.167 0.700 0.037 0.815 0.730 0.095 0.700 0.079 0.794 0.759 0.037 0.650 0.204 0.685 0.907 0.556 0.833 0.611 0.667 0.321 0.290 ա
0.944 0.583 0.000 0.528 0.694 0.929 0.571 0.000 0.571 0.810 0.889 0.528 0.000 0.528 0.806 0.810 0.571 0.000 0.500 0.857 0.833 0.861 0.500 0.833 0.806 0.536 0.277 ս
0.463 0.352 0.517 0.241 0.704 0.593 0.352 0.633 0.185 0.741 0.714 0.286 0.671 0.143 0.746 0.722 0.093 0.667 0.074 0.722 0.870 0.426 0.833 0.519 0.759 0.321 0.284 ա
0.694 0.556 0.000 0.278 0.722 0.786 0.619 0.000 0.381 0.976 0.750 0.611 0.000 0.333 0.972 0.714 0.619 0.000 0.286 0.976 0.833 0.833 0.639 0.694 0.861 0.536 0.298 ս
0.861 0.611 0.528 0.694 0.778 0.905 0.333 0.000 0.476 0.810 0.917 0.361 0.000 0.528 0.806 0.976 0.333 0.000 0.571 0.762 1.000 0.278 0.000 0.611 0.806 0.536 0.295 ո
0.750 0.417 0.000 0.444 0.778 0.944 0.389 0.000 0.667 0.722 0.952 0.381 0.000 0.548 0.714 0.861 0.417 0.000 0.556 0.750 0.889 0.583 0.389 0.750 0.833 0.519 0.290 ս
0.792 0.111 0.812 0.056 0.812 0.875 0.056 0.854 0.074 0.792 0.875 0.048 0.839 0.063 0.786 0.875 0.019 0.771 0.074 0.812 0.896 0.500 0.875 0.537 0.938 0.355 0.287 ա
0.667 0.583 0.000 0.639 0.750 0.929 0.619 0.000 0.786 0.762 0.972 0.500 0.000 0.833 0.639 1.000 0.452 0.000 0.833 0.643 0.972 0.806 0.643 0.972 0.639 0.518 0.301 ս
0.900 0.333 0.000 0.467 0.833 0.971 0.457 0.000 0.486 0.971 0.933 0.433 0.000 0.467 1.000 0.914 0.343 0.000 0.343 0.971 0.900 0.600 0.500 0.767 0.967 0.554 0.275 ս
0.222 0.786 0.048 0.310 0.833 0.389 0.810 0.000 0.524 0.778 0.595 0.633 0.000 0.592 0.571 0.583 0.595 0.000 0.667 0.528 0.806 0.643 0.405 0.881 0.417 0.466 0.290 ս
0.875 0.093 0.630 0.574 0.833 0.893 0.095 0.794 0.095 0.786 0.938 0.148 0.778 0.056 0.792 0.839 0.063 0.794 0.095 0.821 0.875 0.519 0.944 0.167 0.833 0.359 0.280 տ
0.611 0.583 0.000 0.306 0.889 0.881 0.476 0.000 0.548 0.786 0.889 0.389 0.000 0.639 0.722 0.976 0.381 0.000 0.667 0.714 0.944 0.750 0.639 0.833 0.750 0.536 0.298 ս
0.500 0.611 0.000 0.306 0.889 0.583 0.667 0.000 0.361 0.917 0.667 0.500 0.000 0.361 0.889 0.722 0.528 0.000 0.389 0.833 0.806 0.694 0.361 0.639 0.833 0.500 0.302 ս
0.700 0.500 0.000 0.400 0.900 0.800 0.533 0.000 0.433 0.933 0.943 0.429 0.000 0.457 0.800 0.967 0.367 0.000 0.533 0.667 1.000 0.533 0.400 0.800 0.667 0.537 0.265 ս
0.444 0.778 0.500 0.611 0.917 0.583 0.667 0.000 0.361 0.917 0.595 0.643 0.000 0.524 0.857 0.556 0.667 0.000 0.528 0.833 0.694 0.667 0.000 0.583 0.833 0.500 0.293 ո
0.444 0.857 0.083 0.262 0.917 0.389 0.833 0.000 0.357 1.000 0.357 0.796 0.000 0.327 0.976 0.472 0.714 0.000 0.405 0.917 0.694 0.810 0.389 0.714 0.750 0.482 0.278 ս
