 0.500  0.667  0.000  0.000  0.000  1.000  1.000  1.000  1.000  0.500  0.500  0.667  0.000  0.000  0.000  0.500  0.667  0.000  0.000  0.000  0.250  0.833  1.000  1.000  0.750 t
 0.000  0.000  0.167  0.667  1.000  0.333  0.556  0.556  0.444  0.333  1.000  1.000  0.333  0.000  0.000  0.333  0.444  0.556  0.444  0.333  0.000  0.000  0.167  0.667  1.000 <
 0.000  0.000  0.222  0.778  0.500  0.167  0.556  0.667  0.889  0.500  0.833  0.556  0.333  0.778  0.500  1.000  0.333  0.000  0.667  0.500  0.500  0.667  0.667  0.889  0.667 d
 0.000  0.222  0.667  0.222  0.000  0.167  0.333  0.333  0.111  0.000  0.125  0.500  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.333  0.556  1.000  0.556  0.333 i
 0.000  0.556  0.833  0.667  0.500  0.667  0.889  0.833  0.667  0.667  0.333  0.778  0.667  0.333  0.333  0.000  0.667  0.500  0.000  0.000  0.333  0.778  0.667  0.333  0.333 f
 0.250  0.833  1.000  0.833  0.250  0.333  0.889  1.000  1.000  0.500  0.750  0.667  0.500  0.833  0.500  1.000  0.556  0.333  0.778  0.500  0.750  1.000  0.833  0.833  0.750 a
 0.250  0.833  1.000  0.833  0.250  0.833  0.556  0.333  0.556  0.833  1.000  0.333  0.000  0.333  1.000  0.833  0.556  0.333  0.556  0.833  0.250  0.833  1.000  0.833  0.250 o
 0.250  0.833  1.000  0.833  0.250  0.833  0.778  0.667  0.778  0.833  1.000  1.000  1.000  1.000  1.000  0.833  0.778  0.667  0.667  0.667  0.250  0.833  1.000  0.833  0.500 e
 0.250  0.833  1.000  0.833  0.250  0.833  0.778  0.667  0.778  0.833  1.000  1.000  1.000  1.000  1.000  0.833  0.778  0.667  0.667  0.667  0.250  0.833  1.000  0.833  0.500 e
 0.250  0.833  1.000  0.833  0.250  0.833  0.778  0.667  0.778  0.833  1.000  1.000  1.000  1.000  1.000  0.833  0.778  0.667  0.667  0.667  0.250  0.833  1.000  0.833  0.500 e
 0.250  0.833  1.000  1.000  1.000  0.833  0.556  0.333  0.444  0.667  1.000  0.333  0.000  0.000  0.000  0.833  0.556  0.333  0.333  0.500  0.250  0.833  1.000  0.833  0.500 c
 0.250  0.833  1.000  0.833  0.250  0.833  0.556  0.333  0.556  0.833  1.000  0.333  0.000  0.333  1.000  0.833  0.556  0.333  0.556  0.833  0.250  0.833  1.000  0.833  0.250 o
 0.500  0.833  0.667  0.167  0.000  0.000  0.333  0.833  0.667  0.250  0.000  0.000  0.444  0.778  0.500  0.000  0.333  0.667  0.333  0.000  0.500  0.667  0.333  0.000  0.000 >
 0.500  1.000  0.000  0.000  0.000  0.000  1.000  0.500  0.667  0.167  0.000  1.000  0.333  0.667  0.500  0.000  1.000  0.000  0.500  0.500  0.167  1.000  0.167  0.667  0.667 h
 0.500  0.667  0.000  0.667  0.500  0.833  0.889  0.667  0.889  0.833  0.833  0.889  0.667  0.889  0.833  0.833  0.889  0.667  0.889  0.833  0.500  0.667  0.000  0.667  0.500 #
 0.600  0.400  0.733  0.800  0.533  0.400  0.467  0.333  0.467  0.400  0.333  0.600  0.200  0.667  0.533  0.267  0.400  0.200  0.733  0.467  0.800  0.400  0.333  0.733  0.067 yp
 0.750  0.667  0.167  0.833  0.500  0.500  0.667  0.000  0.667  0.500  0.500  0.667  0.000  0.667  0.500  0.500  0.778  0.333  0.778  0.500  0.250  0.833  1.000  1.000  0.750 u
 0.500  0.833  0.833  1.000  1.000  0.000  0.667  0.667  0.333  0.333  0.000  0.667  0.333  0.000  0.000  0.000  0.667  0.333  0.000  0.000  0.500  0.833  0.667  0.333  0.000 r
 0.500  0.778  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.333  0.556  1.000  0.556  0.333 l
 0.500  0.778  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.000  0.333  1.000  0.333  0.000  0.333  0.556  1.000  0.556  0.333 l
 0.750  1.000  1.000  0.833  0.250  0.500  0.778  0.333  0.778  0.500  0.500  0.667  0.000  0.667  0.500  0.500  0.667  0.000  0.667  0.500  0.750  0.833  0.333  0.833  0.750 n
 0.750  1.000  1.000  0.833  1.000  0.833  0.778  0.667  0.667  0.667  0.250  0.833  1.000  0.833  0.500  0.667  0.667  0.667  0.778  1.000  1.000  0.833  1.000  1.000  0.750 s
 1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 _
